address;source_location;insn;indent
0x4022b0;:0;PUSH	%RBP;
0x402492;:0;TEST	%R13,%R13;
0x402495;:0;VCVTSI2SS	%R13,%XMM1,%XMM1;
0x40249a;:0;JGE	4024b9 <main+0x209>;
0x40249c;:0;MOV	%R13,%RDX;
0x40249f;:0;MOV	%R13,%RAX;
0x4024a2;:0;SHR	$0x1,%RAX;
0x4024a5;:0;AND	$0x1,%RDX;
0x4024a9;:0;OR	%RAX,%RDX;
0x4024ac;:0;VXORPS	%XMM0,%XMM0,%XMM0;
0x4024b0;:0;VCVTSI2SS	%RDX,%XMM0,%XMM0;
0x4024b5;:0;VADDSS	%XMM0,%XMM0,%XMM1;
0x4024b9;:0;MOV	%R13,%RAX;
0x4024bc;:0;VXORPS	%XMM0,%XMM0,%XMM0;
0x4024c0;:0;DEC	%RAX;
0x4024c3;:0;VCVTSI2SS	%RAX,%XMM0,%XMM0;
0x4024c8;:0;JNS	4024e4 <main+0x234>;
0x4024ca;:0;MOV	%RAX,%RDX;
0x4024cd;:0;VXORPS	%XMM0,%XMM0,%XMM0;
0x4024d1;:0;SHR	$0x1,%RAX;
0x4024d4;:0;AND	$0x1,%RDX;
0x4024d8;:0;OR	%RAX,%RDX;
0x4024db;:0;VCVTSI2SS	%RDX,%XMM0,%XMM0;
0x4024e0;:0;VADDSS	%XMM0,%XMM0,%XMM0;
0x4024e4;:0;VMULSS	%XMM0,%XMM1,%XMM0;
0x4024e8;:0;MOV	%R13,%RAX;
0x4024eb;:0;VCVTSS2SD	%XMM1,%XMM1,%XMM1;
0x4024ef;:0;VCVTSS2SD	%XMM0,%XMM0,%XMM0;
0x4024f3;:0;VMULSD	0xdc15(%RIP),%XMM0,%XMM2;
0x4024fb;:0;LEA	0x1(%R13),%RCX;
0x4024ff;:0;VFMADD231SD	0xdc00(%RIP),%XMM1,%XMM2;
0x402508;:0;XOR	%ESI,%ESI;
0x40250a;:0;VMOVSD	0xdc0e(%RIP),%XMM7;
0x402512;:0;VMOVUPS	0xdbc6(%RIP),%XMM5;
0x40251a;:0;VMOVSS	0xdc12(%RIP),%XMM1;
0x402522;:0;VMOVSD	%XMM0,0x28(%RSP);
0x402528;:0;VMULSD	0xdbd0(%RIP),%XMM2,%XMM3;
0x402530;:0;AND	$-0x8,%RAX;
0x402534;:0;VMOVUPS	0xdae4(%RIP),%YMM2;
0x40253c;:0;VCVTSD2SS	%XMM3,%XMM3,%XMM3;
0x402540;:0;VMULSS	%XMM3,%XMM3,%XMM4;
0x402544;:0;MOV	%R13,%R12;
0x402547;:0;VCVTSS2SD	%XMM3,%XMM3,%XMM6;
0x40254b;:0;VCVTSS2SD	%XMM4,%XMM4,%XMM4;
0x40254f;:0;VMOVSS	0xdbd5(%RIP),%XMM3;
0x402557;:0;SHR	$0x1,%R12;
0x40255a;:0;MOV	%R13,%R14;
0x40255d;:0;VMOVSD	%XMM4,(%RSP);
0x402562;:0;MOV	%RAX,%R13;
0x402565;:0;VMOVSD	%XMM6,0x8(%RSP);
0x40256b;:0;MOV	%RSI,%R15;
0x40256e;:0;MOV	%RCX,0x30(%RSP);
0x402573;:0;VZEROUPPER;(0) 
0x402576;:0;CALL	402070 <omp_get_wtime@plt>;(0) 
0x40257b;:0;VMOVSS	0xdba9(%RIP),%XMM3;(0) 
0x402583;:0;VMOVSD	%XMM0,0x20(%RSP);(0) 
0x402589;:0;TEST	%R14,%R14;(0) 
0x40258c;:0;JBE	402db1 <main+0xb01>;(0) 
0x402592;:0;XOR	%ECX,%ECX;(0) 
0x402594;:0;MOV	$0x1,%R8D;(0) 
0x40259a;:0;XOR	%EDX,%EDX;(0) 
0x40259c;:0;CMP	$0x1,%R12;(0) 
0x4025a0;:0;JB	402aea <main+0x83a>;(0) 
0x4025a6;:0;VMOVSS	(%RDX,%RBX,1),%XMM6;  (5) 
0x4025ab;:0;CMP	$0x8,%R14;  (5) 
0x4025af;:0;VXORPS	%XMM0,%XMM0,%XMM0;  (5) 
0x4025b3;:0;VMOVAPS	%XMM0,%XMM8;  (5) 
0x4025b7;:0;VMOVAPS	%XMM8,%XMM11;  (5) 
0x4025bc;:0;VMOVAPS	%XMM11,%XMM10;  (5) 
0x4025c1;:0;VMOVAPS	%XMM10,%XMM9;  (5) 
0x4025c6;:0;VMOVSS	0x4(%RDX,%RBX,1),%XMM12;  (5) 
0x4025cc;:0;VMOVAPS	%XMM9,%XMM13;  (5) 
0x4025d1;:0;VMOVSS	0x8(%RDX,%RBX,1),%XMM5;  (5) 
0x4025d7;:0;VMOVSS	0x18(%RDX,%RBX,1),%XMM4;  (5) 
0x4025dd;:0;VMOVSS	0x1c(%RDX,%RBX,1),%XMM2;  (5) 
0x4025e3;:0;VMOVSS	0x20(%RDX,%RBX,1),%XMM1;  (5) 
0x4025e9;:0;JB	4030f6 <main+0xe46>;  (5) 
0x4025ef;:0;VBROADCASTSS	%XMM5,%YMM15;  (5) 
0x4025f4;:0;MOV	%R13,%R9;  (5) 
0x4025f7;:0;VBROADCASTSS	%XMM6,%YMM13;  (5) 
0x4025fc;:0;VBROADCASTSS	%XMM12,%YMM9;  (5) 
0x402601;:0;VMOVSS	%XMM1,0x58(%RSP);  (5) 
0x402607;:0;VMOVSS	%XMM2,0x140(%RSP);  (5) 
0x402610;:0;VMOVSS	%XMM4,0x148(%RSP);  (5) 
0x402619;:0;VMOVUPS	%YMM15,0x100(%RSP);  (5) 
0x402622;:0;XOR	%R8D,%R8D;  (5) 
0x402625;:0;VMOVSS	%XMM5,0x150(%RSP);  (5) 
0x40262e;:0;VBROADCASTSS	%XMM4,%YMM15;  (5) 
0x402633;:0;VMOVSS	%XMM12,0x38(%RSP);  (5) 
0x402639;:0;VMOVSS	%XMM6,0x158(%RSP);  (5) 
0x402642;:0;VMOVUPS	%YMM9,0x80(%RSP);  (5) 
0x40264b;:0;VMOVUPS	%YMM15,0xa0(%RSP);  (5) 
0x402654;:0;VMOVUPS	%YMM13,0x60(%RSP);  (5) 
0x40265a;:0;VBROADCASTSS	%XMM2,%YMM15;  (5) 
0x40265f;:0;VXORPS	%YMM7,%YMM7,%YMM7;  (5) 
0x402663;:0;VMOVDQA	%YMM7,%YMM0;  (5) 
0x402667;:0;VMOVUPS	%YMM15,0xc0(%RSP);  (5) 
0x402670;:0;VBROADCASTSS	%XMM1,%YMM15;  (5) 
0x402675;:0;VMOVDQA	%YMM0,%YMM11;  (5) 
0x402679;:0;VMOVDQA	%YMM11,%YMM10;  (5) 
0x40267e;:0;VMOVDQA	%YMM10,%YMM8;  (5) 
0x402683;:0;VMOVDQA	%YMM8,%YMM14;  (5) 
0x402688;:0;VMOVUPS	%YMM15,0xe0(%RSP);  (5) 
0x402691;:0;VMOVUPS	0xda57(%RIP),%XMM9;    (7) 
0x402699;:0;LEA	(%R8,%R8,2),%R10;    (7) 
0x40269d;:0;VMOVUPS	%YMM14,0x120(%RSP);    (7) 
0x4026a6;:0;ADD	$0x8,%R8;    (7) 
0x4026aa;:0;VMASKMOVPS	(%RBX,%R10,8),%XMM9,%XMM1;    (7) 
0x4026b0;:0;VMASKMOVPS	0x18(%RBX,%R10,8),%XMM9,%XMM2;    (7) 
0x4026b7;:0;VMASKMOVPS	0x30(%RBX,%R10,8),%XMM9,%XMM12;    (7) 
0x4026be;:0;VMASKMOVPS	0x48(%RBX,%R10,8),%XMM9,%XMM5;    (7) 
0x4026c5;:0;VMASKMOVPS	0x60(%RBX,%R10,8),%XMM9,%XMM14;    (7) 
0x4026cc;:0;VMASKMOVPS	0x78(%RBX,%R10,8),%XMM9,%XMM3;    (7) 
0x4026d3;:0;VMASKMOVPS	0x90(%RBX,%R10,8),%XMM9,%XMM6;    (7) 
0x4026dd;:0;VMASKMOVPS	0xa8(%RBX,%R10,8),%XMM9,%XMM4;    (7) 
0x4026e7;:0;VINSERTF128	$0x1,%XMM14,%YMM1,%YMM13;    (7) 
0x4026ed;:0;VINSERTF128	$0x1,%XMM3,%YMM2,%YMM15;    (7) 
0x4026f3;:0;VINSERTF128	$0x1,%XMM6,%YMM12,%YMM1;    (7) 
0x4026f9;:0;VINSERTF128	$0x1,%XMM4,%YMM5,%YMM9;    (7) 
0x4026ff;:0;VSHUFPS	$0x14,%YMM15,%YMM13,%YMM14;    (7) 
0x402705;:0;VSHUFPS	$0x41,%YMM1,%YMM9,%YMM2;    (7) 
0x40270a;:0;VSHUFPS	$-0x7e,%YMM15,%YMM13,%YMM15;    (7) 
0x402710;:0;VSHUFPS	$0x28,%YMM1,%YMM9,%YMM13;    (7) 
0x402715;:0;VSHUFPS	$0x6c,%YMM2,%YMM14,%YMM9;    (7) 
0x40271a;:0;VSHUFPS	$0x39,%YMM2,%YMM14,%YMM1;    (7) 
0x40271f;:0;VMOVUPS	0xd8f9(%RIP),%YMM14;    (7) 
0x402727;:0;VSUBPS	0x60(%RSP),%YMM9,%YMM12;    (7) 
0x40272d;:0;VSUBPS	0x80(%RSP),%YMM1,%YMM6;    (7) 
0x402736;:0;VMOVAPS	%YMM14,%YMM4;    (7) 
0x40273b;:0;VFMADD231PS	%YMM12,%YMM12,%YMM4;    (7) 
0x402740;:0;VFMADD231PS	%YMM6,%YMM6,%YMM4;    (7) 
0x402745;:0;VSHUFPS	$0x6c,%YMM13,%YMM15,%YMM3;    (7) 
0x40274b;:0;VSUBPS	0x100(%RSP),%YMM3,%YMM5;    (7) 
0x402754;:0;VSUBPS	0xa0(%RSP),%YMM9,%YMM13;    (7) 
0x40275d;:0;VSUBPS	0xc0(%RSP),%YMM1,%YMM9;    (7) 
0x402766;:0;VSUBPS	0xe0(%RSP),%YMM3,%YMM1;    (7) 
0x40276f;:0;VFMADD231PS	%YMM5,%YMM5,%YMM4;    (7) 
0x402774;:0;VFMADD231PS	%YMM13,%YMM13,%YMM14;    (7) 
0x402779;:0;VRSQRTPS	%YMM4,%YMM3;    (7) 
0x40277d;:0;VFMADD231PS	%YMM9,%YMM9,%YMM14;    (7) 
0x402782;:0;VANDPS	0xd936(%RIP),%YMM4,%YMM15;    (7) 
0x40278a;:0;VCMPPS	$0xd,0xd90d(%RIP),%YMM15,%YMM2;    (7) 
0x402793;:0;VFMADD231PS	%YMM1,%YMM1,%YMM14;    (7) 
0x402798;:0;VANDPS	%YMM3,%YMM2,%YMM2;    (7) 
0x40279c;:0;VMULPS	%YMM2,%YMM4,%YMM15;    (7) 
0x4027a0;:0;VMOVUPS	0xd8b8(%RIP),%YMM3;    (7) 
0x4027a8;:0;VFMSUB213PS	%YMM3,%YMM15,%YMM2;    (7) 
0x4027ad;:0;VMULPS	%YMM2,%YMM15,%YMM15;    (7) 
0x4027b1;:0;VMULPS	0xd8c7(%RIP),%YMM15,%YMM2;    (7) 
0x4027b9;:0;VMULPS	%YMM4,%YMM2,%YMM4;    (7) 
0x4027bd;:0;VBROADCASTSS	0xd972(%RIP),%YMM2;    (7) 
0x4027c6;:0;VRCPPS	%YMM4,%YMM15;    (7) 
0x4027ca;:0;VFNMADD213PS	%YMM2,%YMM15,%YMM4;    (7) 
0x4027cf;:0;VMULPS	%YMM15,%YMM4,%YMM4;    (7) 
0x4027d4;:0;VFMADD231PS	%YMM12,%YMM4,%YMM7;    (7) 
0x4027d9;:0;VFMADD231PS	%YMM5,%YMM4,%YMM11;    (7) 
0x4027de;:0;VFMADD231PS	%YMM6,%YMM4,%YMM0;    (7) 
0x4027e3;:0;VRSQRTPS	%YMM14,%YMM12;    (7) 
0x4027e8;:0;VANDPS	0xd8d0(%RIP),%YMM14,%YMM5;    (7) 
0x4027f0;:0;VCMPPS	$0xd,0xd8a7(%RIP),%YMM5,%YMM6;    (7) 
0x4027f9;:0;VANDPS	%YMM12,%YMM6,%YMM5;    (7) 
0x4027fe;:0;VMULPS	%YMM5,%YMM14,%YMM4;    (7) 
0x402802;:0;VFMSUB213PS	%YMM3,%YMM4,%YMM5;    (7) 
0x402807;:0;VMULPS	%YMM5,%YMM4,%YMM3;    (7) 
0x40280b;:0;VMULPS	0xd86d(%RIP),%YMM3,%YMM6;    (7) 
0x402813;:0;VMULPS	%YMM14,%YMM6,%YMM14;    (7) 
0x402818;:0;VRCPPS	%YMM14,%YMM12;    (7) 
0x40281d;:0;VFNMADD213PS	%YMM2,%YMM12,%YMM14;    (7) 
0x402822;:0;VMULPS	%YMM12,%YMM14,%YMM2;    (7) 
0x402827;:0;VMOVUPS	0x120(%RSP),%YMM14;    (7) 
0x402830;:0;VFMADD231PS	%YMM13,%YMM2,%YMM10;    (7) 
0x402835;:0;VFMADD231PS	%YMM9,%YMM2,%YMM8;    (7) 
0x40283a;:0;VFMADD231PS	%YMM1,%YMM2,%YMM14;    (7) 
0x40283f;:0;CMP	%R13,%R8;    (7) 
0x402842;:0;JB	402691 <main+0x3e1>;    (7) 
0x402848;:0;VEXTRACTF128	$0x1,%YMM14,%XMM13;  (5) 
0x40284e;:0;VMOVSS	0x58(%RSP),%XMM1;  (5) 
0x402854;:0;VMOVSS	0x140(%RSP),%XMM2;  (5) 
0x40285d;:0;VMOVSS	0x148(%RSP),%XMM4;  (5) 
0x402866;:0;VADDPS	%XMM13,%XMM14,%XMM9;  (5) 
0x40286b;:0;VMOVHLPS	%XMM9,%XMM9,%XMM15;  (5) 
0x402870;:0;VMOVSS	0x150(%RSP),%XMM5;  (5) 
0x402879;:0;VADDPS	%XMM15,%XMM9,%XMM13;  (5) 
0x40287e;:0;VSHUFPS	$-0xb,%XMM13,%XMM13,%XMM9;  (5) 
0x402884;:0;VMOVSS	0x38(%RSP),%XMM12;  (5) 
0x40288a;:0;VADDSS	%XMM9,%XMM13,%XMM13;  (5) 
0x40288f;:0;VMOVSS	0x158(%RSP),%XMM6;  (5) 
0x402898;:0;VMOVSS	0xd88c(%RIP),%XMM3;  (5) 
0x4028a0;:0;VEXTRACTF128	$0x1,%YMM8,%XMM9;  (5) 
0x4028a6;:0;VADDPS	%XMM9,%XMM8,%XMM8;  (5) 
0x4028ab;:0;VMOVHLPS	%XMM8,%XMM8,%XMM14;  (5) 
0x4028b0;:0;VADDPS	%XMM14,%XMM8,%XMM15;  (5) 
0x4028b5;:0;VSHUFPS	$-0xb,%XMM15,%XMM15,%XMM9;  (5) 
0x4028bb;:0;VADDSS	%XMM9,%XMM15,%XMM9;  (5) 
0x4028c0;:0;VEXTRACTF128	$0x1,%YMM10,%XMM8;  (5) 
0x4028c6;:0;VADDPS	%XMM8,%XMM10,%XMM10;  (5) 
0x4028cb;:0;VMOVHLPS	%XMM10,%XMM10,%XMM14;  (5) 
0x4028d0;:0;VADDPS	%XMM14,%XMM10,%XMM15;  (5) 
0x4028d5;:0;VSHUFPS	$-0xb,%XMM15,%XMM15,%XMM10;  (5) 
0x4028db;:0;VADDSS	%XMM10,%XMM15,%XMM10;  (5) 
0x4028e0;:0;VEXTRACTF128	$0x1,%YMM11,%XMM8;  (5) 
0x4028e6;:0;VADDPS	%XMM8,%XMM11,%XMM11;  (5) 
0x4028eb;:0;VMOVHLPS	%XMM11,%XMM11,%XMM14;  (5) 
0x4028f0;:0;VADDPS	%XMM14,%XMM11,%XMM15;  (5) 
0x4028f5;:0;VSHUFPS	$-0xb,%XMM15,%XMM15,%XMM11;  (5) 
0x4028fb;:0;VADDSS	%XMM11,%XMM15,%XMM11;  (5) 
0x402900;:0;VEXTRACTF128	$0x1,%YMM0,%XMM8;  (5) 
0x402906;:0;VADDPS	%XMM8,%XMM0,%XMM0;  (5) 
0x40290b;:0;VMOVHLPS	%XMM0,%XMM0,%XMM14;  (5) 
0x40290f;:0;VADDPS	%XMM14,%XMM0,%XMM15;  (5) 
0x402914;:0;VSHUFPS	$-0xb,%XMM15,%XMM15,%XMM8;  (5) 
0x40291a;:0;VADDSS	%XMM8,%XMM15,%XMM8;  (5) 
0x40291f;:0;VEXTRACTF128	$0x1,%YMM7,%XMM0;  (5) 
0x402925;:0;VADDPS	%XMM0,%XMM7,%XMM7;  (5) 
0x402929;:0;VMOVHLPS	%XMM7,%XMM7,%XMM14;  (5) 
0x40292d;:0;VADDPS	%XMM14,%XMM7,%XMM15;  (5) 
0x402932;:0;VSHUFPS	$-0xb,%XMM15,%XMM15,%XMM0;  (5) 
0x402938;:0;VADDSS	%XMM0,%XMM15,%XMM0;  (5) 
0x40293c;:0;LEA	(%R9,%R9,2),%R8;  (5) 
0x402940;:0;SAL	$0x3,%R8;  (5) 
0x402944;:0;CMP	%R14,%R9;  (5) 
0x402947;:0;JAE	402a87 <main+0x7d7>;  (5) 
0x40294d;:0;VMOVSS	%XMM1,0x58(%RSP);  (5) 
0x402953;:0;VMOVSS	%XMM2,0x140(%RSP);  (5) 
0x40295c;:0;VMOVSS	%XMM4,0x148(%RSP);  (5) 
0x402965;:0;VMOVSS	%XMM5,0x150(%RSP);  (5) 
0x40296e;:0;VMOVSS	%XMM6,0x158(%RSP);  (5) 
0x402977;:0;VMOVSS	0xd7b5(%RIP),%XMM7;  (5) 
0x40297f;:0;VMOVSS	(%R8,%RBX,1),%XMM6;    (6) 
0x402985;:0;INC	%R9;    (6) 
0x402988;:0;VMOVSS	0x4(%R8,%RBX,1),%XMM4;    (6) 
0x40298f;:0;VMOVSS	0xd799(%RIP),%XMM15;    (6) 
0x402997;:0;VSUBSS	%XMM12,%XMM4,%XMM1;    (6) 
0x40299c;:0;VSUBSS	0x158(%RSP),%XMM6,%XMM2;    (6) 
0x4029a5;:0;VSUBSS	0x148(%RSP),%XMM6,%XMM6;    (6) 
0x4029ae;:0;VSUBSS	0x140(%RSP),%XMM4,%XMM4;    (6) 
0x4029b7;:0;VFMADD231SS	%XMM2,%XMM2,%XMM15;    (6) 
0x4029bc;:0;VMOVSS	0x8(%R8,%RBX,1),%XMM5;    (6) 
0x4029c3;:0;VSUBSS	0x150(%RSP),%XMM5,%XMM3;    (6) 
0x4029cc;:0;VSUBSS	0x58(%RSP),%XMM5,%XMM5;    (6) 
0x4029d2;:0;VFMADD231SS	%XMM1,%XMM1,%XMM15;    (6) 
0x4029d7;:0;VFMADD231SS	%XMM3,%XMM3,%XMM15;    (6) 
0x4029dc;:0;ADD	$0x18,%R8;    (6) 
0x4029e0;:0;VRSQRTSS	%XMM15,%XMM15,%XMM14;    (6) 
0x4029e5;:0;VMULSS	%XMM14,%XMM15,%XMM15;    (6) 
0x4029ea;:0;VMULSS	%XMM14,%XMM15,%XMM15;    (6) 
0x4029ef;:0;VMULSS	0xd749(%RIP),%XMM14,%XMM14;    (6) 
0x4029f7;:0;VSUBSS	0xd73d(%RIP),%XMM15,%XMM15;    (6) 
0x4029ff;:0;VMULSS	%XMM15,%XMM14,%XMM15;    (6) 
0x402a04;:0;VMULSS	%XMM15,%XMM7,%XMM14;    (6) 
0x402a09;:0;VMULSS	%XMM15,%XMM15,%XMM15;    (6) 
0x402a0e;:0;VMULSS	%XMM15,%XMM14,%XMM14;    (6) 
0x402a13;:0;VFMADD231SS	%XMM1,%XMM14,%XMM8;    (6) 
0x402a18;:0;VMOVSS	0xd710(%RIP),%XMM1;    (6) 
0x402a20;:0;VFMADD231SS	%XMM6,%XMM6,%XMM1;    (6) 
0x402a25;:0;VFMADD231SS	%XMM2,%XMM14,%XMM0;    (6) 
0x402a2a;:0;VFMADD231SS	%XMM3,%XMM14,%XMM11;    (6) 
0x402a2f;:0;VFMADD231SS	%XMM4,%XMM4,%XMM1;    (6) 
0x402a34;:0;VFMADD231SS	%XMM5,%XMM5,%XMM1;    (6) 
0x402a39;:0;VRSQRTSS	%XMM1,%XMM1,%XMM14;    (6) 
0x402a3d;:0;VMULSS	%XMM14,%XMM1,%XMM2;    (6) 
0x402a42;:0;VMULSS	0xd6f6(%RIP),%XMM14,%XMM1;    (6) 
0x402a4a;:0;VMULSS	%XMM14,%XMM2,%XMM3;    (6) 
0x402a4f;:0;VSUBSS	0xd6e5(%RIP),%XMM3,%XMM2;    (6) 
0x402a57;:0;VMULSS	%XMM2,%XMM1,%XMM3;    (6) 
0x402a5b;:0;VMULSS	%XMM3,%XMM7,%XMM15;    (6) 
0x402a5f;:0;VMULSS	%XMM3,%XMM3,%XMM1;    (6) 
0x402a63;:0;VMULSS	%XMM1,%XMM15,%XMM2;    (6) 
0x402a67;:0;VFMADD231SS	%XMM6,%XMM2,%XMM10;    (6) 
0x402a6c;:0;VFMADD231SS	%XMM4,%XMM2,%XMM9;    (6) 
0x402a71;:0;VFMADD231SS	%XMM5,%XMM2,%XMM13;    (6) 
0x402a76;:0;CMP	%R14,%R9;    (6) 
0x402a79;:0;JB	40297f <main+0x6cf>;    (6) 
0x402a7f;:0;VMOVSS	0xd6a5(%RIP),%XMM3;  (5) 
0x402a87;:0;VFMADD213SS	0xc(%RDX,%RBX,1),%XMM3,%XMM0;  (5) 
0x402a8e;:0;INC	%RCX;  (5) 
0x402a91;:0;VFMADD213SS	0x10(%RDX,%RBX,1),%XMM3,%XMM8;  (5) 
0x402a98;:0;VFMADD213SS	0x14(%RDX,%RBX,1),%XMM3,%XMM11;  (5) 
0x402a9f;:0;VFMADD213SS	0x24(%RDX,%RBX,1),%XMM3,%XMM10;  (5) 
0x402aa6;:0;VFMADD213SS	0x28(%RDX,%RBX,1),%XMM3,%XMM9;  (5) 
0x402aad;:0;VFMADD213SS	0x2c(%RDX,%RBX,1),%XMM3,%XMM13;  (5) 
